iteration;score;goals;p0;p1;p2;p3;p4;p5;p6;p7;p8;p9
48;206;362;0.86;0.37;0.1;0.62;0.02;0.63;0.16;0;1;0.18
40;206;346;0.86;0.37;0.1;0.62;0.02;0.63;0.16;0;1;0.18
39;205;350;0.86;0.26;0.22;0.58;0.02;0.63;1;0;0.35;0.18
41;204;357;0.86;0.37;0.1;0.62;0.02;0.63;0.16;0;1;0.18
44;201;346;0.86;0.37;0.1;0.62;0.02;0.63;0.16;0;1;0.18
42;199;337;0.86;0.37;0.1;0.62;0.02;0.63;0.16;0;1;0.18
47;198;355;0.86;0.37;0.1;0.62;0.02;0.63;0.16;0;1;0.18
49;196;361;0.86;0.37;0.1;0.62;0.02;0.63;0.16;0;1;0.18
46;196;360;0.86;0.37;0.1;0.62;0.02;0.63;0.16;0;1;0.18
37;195;336;0.86;0.26;0.22;0.58;0.02;0.63;0.96;0;1;0.51
43;190;335;0.86;0.37;0.1;0.62;0.02;0.63;0.16;0;1;0.18
35;187;339;0.86;0.26;0.22;0.58;0.02;0.63;0.96;0;1;0.18
45;187;334;0.86;0.37;0.1;0.62;0.02;0.63;0.16;0;1;0.18
31;184;333;0.86;0.26;0.22;0.58;0.02;0.63;0.96;0;1;0.18
21;183;307;0.86;0.52;0.33;0.65;0.02;0.63;0.79;0;1;0.18
32;181;338;0.86;0.26;0.22;0.58;0.02;0.63;0.96;0;1;0.18
33;178;338;0.86;0.26;0.22;0.58;0.02;0.63;0.96;0;1;0.18
34;177;327;0.86;0.26;0.22;0.58;0.02;0.63;0.96;0;1;0.18
25;177;297;0.86;0.34;0.48;0.65;0.02;0.63;0.29;0;1;0.18
36;175;332;0.86;0.26;0.22;0.58;0.02;0.63;0.96;0;1;0.18
22;169;323;0.86;0.52;0.33;0.65;0.02;0.63;0.79;0;1;0.18
29;169;323;0.86;0.26;0.22;0.65;0.02;0.63;0.87;0;1;0.18
38;169;306;0.86;0.26;0.22;0.58;0.02;0.63;0.96;0;1;0.51
27;165;294;0.86;0.52;0.33;0.65;0.02;0.63;0.5;0;1;0.18
13;165;287;0.86;0.34;0.48;0.65;0.02;0.63;0.79;0;1;0.18
30;164;331;0.86;0.26;0.22;0.58;0.02;0.63;0.96;0;1;0.18
14;164;298;0.86;0.34;0.48;0.65;0.02;0.63;0.79;0;1;0.18
23;164;292;0.86;0.34;0.48;0.65;0.02;0.63;0.29;0;1;0.18
12;163;307;0.86;0.34;0.48;0.65;0.02;0.63;0.79;0;1;0.18
26;160;293;0.86;0.34;0.48;0.65;0.02;0.63;0.29;0;1;0.18
17;136;279;0.86;0.28;0.22;0.42;0.55;0.89;0.79;0;1;0.18
28;118;305;0.86;0.93;0.22;0.58;0.02;0.63;0.79;0;0.46;0.18
10;110;288;0.86;0.93;0.22;0.65;0.02;0.63;0.79;0;1;0.18
1;105;246;0.86;0.93;0.22;0.45;0.71;0.3;0.79;0;1;0.18
18;102;265;0.86;0.93;0.22;0.65;0.02;0.63;0.79;0;1;0.18
19;95;224;0.86;0.93;0.22;0.65;0.02;0.63;0.84;0.57;1;0.18
24;94;241;0.86;0.93;0.22;0.23;0.52;0.05;0.79;0;1;0.18
7;86;223;0.86;0.93;0.22;0.86;0.15;0.83;0.79;0;1;0.18
16;84;218;0.86;0.93;0.22;0.68;0.31;0.72;0.79;0;1;0.18
6;82;231;0.86;0.93;0.22;0.76;0.09;0.3;0.79;0;1;0.18
0;79;213;0.86;0.93;0.22;0.45;0.71;0.3;0.79;0;1;0.18
5;79;205;0.86;0.93;0.22;0.68;0.31;0.72;0.79;0;1;0.18
4;79;202;0.86;0.93;0.22;0.81;0.31;0.61;0.79;0;1;0.18
8;78;202;0.86;0.93;0.22;0.81;0.31;0.61;0.79;0;1;0.18
20;72;213;0.86;0.83;0.22;0.23;0.52;0.05;0.79;0.03;1;0.18
15;59;190;0.86;0.93;0.33;0.91;0.3;0.08;0.79;0;1;0.18
3;57;183;0.74;0.19;0.64;0.91;0.3;0.08;0.85;0.08;0.92;0.78
9;47;188;1;0.18;0.42;0.91;0.3;0.08;0.98;0.15;0.07;0.54
11;46;139;1;0.18;0.42;0.14;0.52;0.05;0.98;0.15;0.07;0.54
2;38;165;0.74;0.19;0.64;0.91;0.3;0.08;0.85;0.08;0.92;0.78
