iteration;score;goals;p0;p1;p2;p3;p4;p5;p6;p7;p8;p9
39;228;384;0.72;0.64;0.11;0.85;0.04;0.89;0.62;0.04;0.99;0.93
48;228;381;0.72;0.64;0.11;0.85;0.04;0.89;0.62;0.04;0.61;0.93
47;225;396;0.72;0.64;0.11;0.85;0.04;0.89;0.62;0.04;0.61;0.93
44;225;394;0.72;0.64;0.11;0.85;0.04;0.89;0.62;0.04;0.59;0.93
41;221;385;0.72;0.64;0.11;0.85;0.04;0.89;0.62;0.04;0.99;0.93
46;217;384;0.72;0.64;0.11;0.85;0.04;0.89;0.62;0.04;0.61;0.93
40;213;381;0.72;0.64;0.11;0.85;0.04;0.89;0.62;0.04;0.99;0.93
45;213;366;0.72;0.64;0.11;0.85;0.04;0.89;0.62;0.04;0.61;0.93
42;211;363;0.72;0.64;0.11;0.85;0.04;0.89;0.62;0.04;0.99;0.93
43;210;372;0.72;0.64;0.11;0.85;0.04;0.89;0.62;0.04;0.99;0.93
49;208;378;0.72;0.64;0.11;0.85;0.04;0.89;0.62;0.04;0.61;0.93
34;201;374;0.72;0.35;0.11;0.85;0.35;0.89;0.98;0.04;0.99;0.74
29;196;364;0.72;0.35;0.11;0.85;0.35;0.89;0.98;0.04;0.99;0.75
28;180;351;0.72;0.35;0.11;0.85;0.35;0.89;0.98;0.04;0.99;0.75
32;175;338;0.72;0.35;0.11;0.85;0.35;0.89;0.98;0.04;0.99;0.74
33;175;333;0.72;0.35;0.11;0.85;0.35;0.89;0.98;0.04;0.99;0.74
30;174;353;0.72;0.35;0.11;0.85;0.35;0.89;0.98;0.04;0.99;0.74
31;172;335;0.72;0.35;0.11;0.85;0.35;0.89;0.98;0.04;0.99;0.74
24;159;321;0.72;0.35;0.11;0.85;0.67;0.89;0.98;0.04;0.99;0.74
38;158;309;0.72;0.64;0.11;0.85;0.35;0.89;0.62;0.04;0.99;0.69
25;158;268;0.72;0.35;0.11;0.29;0.67;0.89;0.98;0.04;0.99;0.74
36;150;307;0.72;0.64;0.11;0.85;0.35;0.89;0.62;0.04;0.99;0.69
35;139;304;0.72;0.64;0.11;0.85;0.35;0.89;0.62;0.04;0.99;0.69
19;137;260;0.72;0.35;0.11;0.29;0.67;0.89;0.98;0.04;0.99;0.74
26;134;253;0.72;0.35;0.11;0.17;0.67;0.89;0.98;0.04;0.99;0.74
37;128;268;0.72;0.35;0.11;0.85;0.35;0.89;0.53;0.04;0.99;0.74
23;124;253;0.72;0.35;0.11;0.17;0.67;0.89;0.98;0.04;0.99;0.74
14;123;247;0.75;0.35;0.11;0.17;0.67;0.89;0.98;0.04;0.99;0.74
27;122;228;0.72;0.35;0.11;0.29;0.67;0.89;0.98;0.04;0.99;0.75
18;119;270;0.72;0.35;0.11;0.17;0.67;0.89;0.98;0.04;0.99;0.74
20;116;247;0.72;0.35;0.11;0.29;0.67;0.89;0.98;0.04;0.99;0.49
12;112;253;0.75;0.35;0.11;0.03;0.28;0.2;0.98;0.04;0.99;0.74
21;111;281;0.45;0.35;0.11;0.85;0.67;0.89;0.81;0.18;0.57;0.74
10;102;275;0.75;0.35;0.11;0.17;0.67;0.92;0.98;0.18;0.99;0.74
17;101;260;0.45;0.35;0.11;0.17;0.67;0.89;0.81;0.18;0.57;0.74
22;99;262;0.45;0.35;0.11;0.85;0.67;0.89;0.81;0.18;0.57;0.74
15;98;253;0.45;0.35;0.11;0.17;0.67;0.89;0.81;0.18;0.57;0.74
11;97;237;0.45;0.35;0.11;0.17;0.67;0.89;0.98;0.18;0.99;0.74
13;95;243;0.75;0.68;0.11;0.29;0.67;0.89;0.98;0.18;0.99;0.74
0;92;203;0.96;0.36;0.31;0.46;0.73;0.27;0.75;0.71;0.55;0.06
16;90;235;0.45;0.35;0.11;0.17;0.67;0.89;0.81;0.18;0.57;0.74
2;76;184;1;0.36;0.31;0.18;1;0.18;0.75;0.71;0.55;0.06
8;75;259;0.89;0.35;0.11;0.56;0.46;0.27;0.98;0.18;0.99;0.74
7;74;199;0.31;0.35;0.11;0.03;0.96;0.2;0.98;0.18;0.99;0.74
9;74;179;0.45;0.35;0.11;0.03;0.28;0.2;0.98;0.18;0.99;0.74
3;68;200;0.45;0.35;0.3;0.17;0.67;0.53;0.98;0.18;0.99;0.74
6;67;203;0.75;0.35;0.11;0.03;0.28;0.2;0.98;0.18;0.99;0.74
4;61;124;0.45;0.35;0.11;0.03;0.96;0.2;0.98;0.18;0.99;0.74
5;59;174;0.45;0.35;0.11;0.03;0.28;0.2;0.98;0.18;0.99;0.74
1;41;125;0.45;0.35;0.11;0.04;1;0.18;0.98;0.18;0.99;0.74
