iteration;score;goals;p0;p1;p2;p3;p4;p5;p6;p7;p8;p9
48;232;395;0.76;0.5;0.03;0.67;0.12;0.79;0.79;0.02;0.73;0.55
27;215;338;0.99;0.7;0.07;0.2;0.11;0.42;0.9;0.04;0.73;0.96
32;201;391;0.99;0.5;0.03;0.2;0.11;0.2;0.79;0.02;0.73;0.96
36;195;381;0.99;0.5;0.03;0.2;0.12;0.2;0.79;0.02;0.73;0.96
34;190;374;0.99;0.5;0.03;0.2;0.11;0.14;0.79;0.02;0.73;0.96
33;189;389;0.99;0.7;0.03;0.2;0.11;0.2;0.79;0.02;0.73;0.96
37;189;375;0.99;0.5;0.03;0.2;0.12;0.2;0.79;0.02;0.73;0.96
49;186;360;0.76;0.5;0.03;0.67;0.12;0.2;0.79;0.02;0.73;0.96
35;182;367;0.99;0.5;0.03;0.2;0.11;0.14;0.79;0.02;0.73;0.96
39;182;353;0.99;0.5;0.03;0.2;0.99;0.2;0.69;0.02;0.28;0.96
38;181;347;0.99;0.5;0.03;0.2;0.6;0.2;0.69;0.02;0.73;0.96
23;179;346;0.99;0.7;0.03;0.24;0.11;0.2;0.69;0.04;0.73;0.96
25;176;349;0.99;0.7;0.03;0.2;0.11;0.2;0.69;0.04;0.73;0.96
26;174;343;0.99;0.7;0.03;0.2;0.11;0.2;0.69;0.04;0.73;0.96
31;173;340;0.99;0.7;0.03;0.2;0.99;0.14;0.69;0.02;0.73;0.96
24;169;330;0.99;0.7;0.03;0.24;0.11;0.2;0.69;0.04;0.73;0.96
43;167;332;0.76;0.5;0.03;0.2;0.12;0.14;0.69;0.02;0.73;0.96
45;162;347;0.99;0.5;0.03;0.2;0.12;0.14;0.79;0.11;0.73;0.96
28;160;350;0.99;0.7;0.03;0.2;0.99;0.14;0.69;0.02;0.73;0.96
20;157;360;0.99;0.7;0.07;0.2;0.11;0.2;0.9;0.04;0.73;0.58
16;157;334;0.99;0.83;0.03;0.24;0.11;0.2;0.69;0.02;0.38;0.58
14;156;351;0.99;0.5;0.03;0.24;0.11;0.2;0.69;0.04;0.73;0.58
46;156;348;0.99;0.5;0.03;0.2;0.12;0.14;0.79;0.11;0.73;0.96
29;152;339;0.99;0.7;0.03;0.2;0.99;0.14;0.69;0.02;0.73;0.96
41;151;351;0.99;0.5;0.03;0.2;0.12;0.14;0.79;0.11;0.73;0.96
19;151;349;0.99;0.7;0.07;0.2;0.11;0.2;0.9;0.04;0.73;0.58
22;150;356;0.99;0.7;0.07;0.2;0.11;0.2;0.9;0.04;0.73;0.58
30;149;346;0.99;0.5;0.03;0.2;0.99;0.14;0.69;0.02;0.73;0.96
21;147;355;0.99;0.7;0.07;0.2;0.11;0.2;0.9;0.04;0.73;0.58
17;144;337;0.99;0.83;0.03;0.24;0.11;0.2;0.69;0.02;0.38;0.58
44;143;295;0.99;0.5;0.03;0.66;0.99;0.14;0.79;0.11;0.73;0.96
42;140;325;0.99;0.5;0.03;0.2;0.12;0.2;0.79;0.11;0.73;0.96
15;138;343;0.99;0.83;0.07;0.24;0.11;0.2;0.69;0.04;0.73;0.58
18;137;326;0.99;0.83;0.03;0.24;0.11;0.2;0.69;0.02;0.38;0.58
40;137;305;0.99;0.5;0.03;0.2;0.97;0.14;0.79;0.11;0.73;0.96
5;124;282;0.99;0.83;0.1;0.92;0.11;0.26;0.69;0.19;0.38;0.57
10;118;314;0.99;0.83;0.03;0.24;0.11;0.2;0.69;0.17;0.38;0.58
9;111;265;0.99;0.5;0.1;0.25;0.99;0.14;0.77;0.04;0.66;0.58
13;99;254;0.99;0.83;0.1;0.52;0.99;0.14;0.9;0.04;0.73;0.58
7;89;203;0.8;0.42;0.03;0;0.99;0.14;0.77;0.04;0.66;0.35
11;88;248;0.99;0.83;0.1;0.52;0.99;0.27;0.77;0.04;0.42;0.57
8;87;221;0.8;0.42;0.03;0;0.99;0.14;0.77;0.04;0.66;0.35
47;83;271;0.76;0.5;0.03;0.2;0.12;0.28;0.78;0.2;0.28;0.64
6;80;197;0.8;0.42;0.03;0;0.99;0.14;0.77;0.04;0.66;0.35
12;66;206;0.99;0.93;0.03;0.24;0.99;0.14;0.77;0.17;0.32;0.58
0;52;207;0.8;0.83;0.46;0.24;0.11;0.2;0.9;0.17;0.73;0.57
4;36;172;0.8;0.83;0.46;0.24;0.11;0.26;0.9;0.45;0.73;0.57
1;35;164;0.8;0.83;0.52;0.24;0.11;0.27;0.77;0.17;0.73;0.57
3;34;173;0.8;0.83;0.46;0.24;0.11;0.27;0.9;0.17;0.73;0.57
2;34;163;0.8;0.83;0.46;0.24;0.11;0.27;0.9;0.17;0.73;0.57
