iteration;score;goals;p0;p1;p2;p3;p4;p5;p6;p7;p8;p9
0;11;38;0.93;0.59;0.65;0.2;0.85;0.19;0.3;0.01;0.62;0.21;
1;28;57;0.92;0.56;0.3;0.45;0.08;0.73;0.86;0.15;0.54;0.83;
2;6;36;0.89;0.21;0.31;0.27;0.69;0.09;0.9;0.32;0.67;0.33;
3;14;43;0.57;0.56;0.3;0.27;0.69;0.09;0.86;0.01;0.54;0.83;
4;31;54;0.92;0.56;0.3;0.63;0.39;0.78;0.55;0.01;0.54;0.83;
5;24;58;0.92;0.56;0.3;0.27;0.69;0.09;0.55;0.01;0.54;0.83;
6;40;75;0.87;0.56;0.3;0.47;0.08;0.73;0.86;0.01;0.54;0.83;
7;40;66;0.87;0.56;0.3;0.47;0.08;0.73;0.86;0.01;0.54;0.83;
8;44;67;0.87;0.56;0.3;0.47;0.08;0.73;0.86;0.01;0.54;0.83;
9;36;70;0.87;0.56;0.3;0.47;0.08;0.73;0.86;0.01;0.54;0.83;
10;43;78;0.87;0.56;0.3;0.47;0.08;0.73;0.86;0.01;0.54;0.83;
